sim_id,final_pnl,final_Vpi,total_trades
714,183726,1.94738e+06,25
715,203245,-3.76482e+06,27
716,192922,-2.3197e+06,30
717,253569,-2.05225e+06,30
718,177245,648232,35
719,150611,-2.05152e+06,30
720,190079,2.32988e+06,29
721,144701,1.63559e+06,26
722,181198,3.29223e+06,33
723,155268,-1.4718e+06,27
724,163158,-2.22235e+06,25
725,247416,-2.44736e+06,35
726,279612,-6.27578e+06,33
727,245845,2.60913e+06,31
728,191181,3.33117e+06,32
729,160267,3.85522e+06,28
730,186104,-4.39425e+06,21
731,213808,-3.01639e+06,28
732,154541,1.07888e+06,32
733,129088,-608180,23
734,175391,-5.7383e+06,26
735,198560,4.53072e+06,28
736,210371,-2.67376e+06,27
737,131287,-1.35845e+06,26
738,332421,976343,42
739,198584,2.58164e+06,28
740,108749,-1.06947e+06,29
741,173172,2.48533e+06,24
742,248975,6.09338e+06,33
743,164605,965641,26
744,172720,-1.58891e+06,29
745,176467,1.16975e+06,27
746,158724,2.34335e+06,22
747,121838,-3.86513e+06,25
748,205810,1.9917e+06,31
749,116827,-1.31752e+06,31
750,229264,-760088,31
751,130253,-1.76329e+06,20
752,110932,1.85321e+06,25
753,151091,4.57352e+06,23
754,204809,-763225,32
755,153070,-5.19644e+06,21
756,214645,1.80197e+06,34
757,223065,5.61437e+06,30
758,218828,-76382.4,32
759,189099,343906,34
760,215726,-1.71942e+06,29
761,133715,-5.91922e+06,19
762,149943,2.1846e+06,27
763,152400,-1.07058e+06,26
764,196942,-2.16406e+06,32
765,162449,3.13507e+06,28
766,169944,2.91494e+06,36
767,203999,-1.77276e+06,37
768,75515.6,898811,16
769,228247,2.19479e+06,36
770,301701,1.63925e+06,27
771,179134,54532.8,28
772,258630,7.87651e+06,38
773,182869,351493,34
774,208531,6.90525e+06,22
775,193636,-5.92436e+06,28
776,166013,1.99489e+06,30
777,92972.6,-599069,20
778,207276,3.6484e+06,36
779,144824,-1.10101e+06,22
780,167500,-1.04428e+06,19
781,275936,1.77579e+06,45
782,212427,1.69378e+06,35
783,240320,2.35312e+06,37
784,274626,-131595,26
785,153552,-1.48303e+06,26
786,168613,-3.27771e+06,27
787,178577,4.94312e+06,30
788,154190,616729,30
789,133379,1.64393e+06,20
790,163428,3.19428e+06,33
791,157533,1.95541e+06,29
792,127233,-2.76734e+06,28
793,204307,1.33867e+06,30
794,189922,-1.54291e+06,32
795,224590,167400,27
796,217411,-1.64474e+06,34
797,178591,-679169,29
798,181205,1.12529e+06,24
799,194535,5.34122e+06,25
