nu,Vpi,v
0.0230897,6.41026e+06,128642
0.0230897,6.92308e+06,121195
0.0230897,7.4359e+06,113190
0.0230897,7.94872e+06,104527
0.0230897,8.46154e+06,95255.1
0.0230897,8.97436e+06,85381.7
0.0230897,9.48718e+06,74941.4
0.0230897,1e+07,63908.8
0.0237103,-1e+07,63391.6
0.0237103,-9.48718e+06,74451.2
0.0237103,-8.97436e+06,84918.5
0.0237103,-8.46154e+06,94815.4
0.0237103,-7.94872e+06,104117
0.0237103,-7.4359e+06,112808
0.0237103,-6.92308e+06,120841
0.0237103,-6.41026e+06,128313
0.0237103,-5.89744e+06,135218
0.0237103,-5.38462e+06,141534
0.0237103,-4.87179e+06,147282
0.0237103,-4.35897e+06,152419
0.0237103,-3.84615e+06,157089
0.0237103,-3.33333e+06,161153
0.0237103,-2.82051e+06,164605
0.0237103,-2.30769e+06,167457
0.0237103,-1.79487e+06,169742
0.0237103,-1.28205e+06,171478
0.0237103,-769231,172623
0.0237103,-256410,173178
0.0237103,256410,173192
0.0237103,769231,172662
0.0237103,1.28205e+06,171545
0.0237103,1.79487e+06,169835
0.0237103,2.30769e+06,167575
0.0237103,2.82051e+06,164750
0.0237103,3.33333e+06,161325
0.0237103,3.84615e+06,157289
0.0237103,4.35897e+06,152646
0.0237103,4.87179e+06,147531
0.0237103,5.38462e+06,141808
0.0237103,5.89744e+06,135520
0.0237103,6.41026e+06,128643
0.0237103,6.92308e+06,121196
0.0237103,7.4359e+06,113190
0.0237103,7.94872e+06,104528
0.0237103,8.46154e+06,95256
0.0237103,8.97436e+06,85382.6
0.0237103,9.48718e+06,74942.4
0.0237103,1e+07,63909.9
0.024331,-1e+07,63390.6
0.024331,-9.48718e+06,74450.2
0.024331,-8.97436e+06,84917.5
0.024331,-8.46154e+06,94814.5
0.024331,-7.94872e+06,104116
0.024331,-7.4359e+06,112807
0.024331,-6.92308e+06,120840
0.024331,-6.41026e+06,128312
0.024331,-5.89744e+06,135217
0.024331,-5.38462e+06,141533
0.024331,-4.87179e+06,147282
0.024331,-4.35897e+06,152419
0.024331,-3.84615e+06,157089
0.024331,-3.33333e+06,161152
0.024331,-2.82051e+06,164605
0.024331,-2.30769e+06,167456
0.024331,-1.79487e+06,169742
0.024331,-1.28205e+06,171478
0.024331,-769231,172623
0.024331,-256410,173178
0.024331,256410,173192
0.024331,769231,172662
0.024331,1.28205e+06,171545
0.024331,1.79487e+06,169835
0.024331,2.30769e+06,167575
0.024331,2.82051e+06,164751
0.024331,3.33333e+06,161325
0.024331,3.84615e+06,157290
0.024331,4.35897e+06,152646
0.024331,4.87179e+06,147532
0.024331,5.38462e+06,141809
0.024331,5.89744e+06,135520
0.024331,6.41026e+06,128644
0.024331,6.92308e+06,121197
0.024331,7.4359e+06,113191
0.024331,7.94872e+06,104529
0.024331,8.46154e+06,95256.9
0.024331,8.97436e+06,85383.5
0.024331,9.48718e+06,74943.4
0.024331,1e+07,63910.9
0.0249517,-1e+07,63389.5
0.0249517,-9.48718e+06,74449.2
0.0249517,-8.97436e+06,84916.6
0.0249517,-8.46154e+06,94813.6
0.0249517,-7.94872e+06,104115
0.0249517,-7.4359e+06,112806
0.0249517,-6.92308e+06,120839
0.0249517,-6.41026e+06,128311
0.0249517,-5.89744e+06,135216
0.0249517,-5.38462e+06,141533
0.0249517,-4.87179e+06,147281
0.0249517,-4.35897e+06,152418
0.0249517,-3.84615e+06,157088
0.0249517,-3.33333e+06,161152
0.0249517,-2.82051e+06,164605
0.0249517,-2.30769e+06,167456
0.0249517,-1.79487e+06,169742
0.0249517,-1.28205e+06,171478
0.0249517,-769231,172623
0.0249517,-256410,173178
0.0249517,256410,173192
0.0249517,769231,172662
0.0249517,1.28205e+06,171545
0.0249517,1.79487e+06,169835
0.0249517,2.30769e+06,167575
0.0249517,2.82051e+06,164751
0.0249517,3.33333e+06,161325
0.0249517,3.84615e+06,157290
0.0249517,4.35897e+06,152647
0.0249517,4.87179e+06,147532
0.0249517,5.38462e+06,141810
0.0249517,5.89744e+06,135521
0.0249517,6.41026e+06,128645
0.0249517,6.92308e+06,121198
0.0249517,7.4359e+06,113192
0.0249517,7.94872e+06,104529
0.0249517,8.46154e+06,95257.8
0.0249517,8.97436e+06,85384.5
0.0249517,9.48718e+06,74944.4
0.0249517,1e+07,63912
0.0255724,-1e+07,63388.4
0.0255724,-9.48718e+06,74448.1
0.0255724,-8.97436e+06,84915.6
0.0255724,-8.46154e+06,94812.7
0.0255724,-7.94872e+06,104114
0.0255724,-7.4359e+06,112806
0.0255724,-6.92308e+06,120838
0.0255724,-6.41026e+06,128311
0.0255724,-5.89744e+06,135216
0.0255724,-5.38462e+06,141532
0.0255724,-4.87179e+06,147281
0.0255724,-4.35897e+06,152418
0.0255724,-3.84615e+06,157088
0.0255724,-3.33333e+06,161152
0.0255724,-2.82051e+06,164605
0.0255724,-2.30769e+06,167456
0.0255724,-1.79487e+06,169742
0.0255724,-1.28205e+06,171477
0.0255724,-769231,172623
0.0255724,-256410,173178
0.0255724,256410,173192
0.0255724,769231,172662
0.0255724,1.28205e+06,171545
0.0255724,1.79487e+06,169835
0.0255724,2.30769e+06,167575
0.0255724,2.82051e+06,164751
0.0255724,3.33333e+06,161326
0.0255724,3.84615e+06,157291
0.0255724,4.35897e+06,152647
0.0255724,4.87179e+06,147533
0.0255724,5.38462e+06,141810
0.0255724,5.89744e+06,135521
0.0255724,6.41026e+06,128645
0.0255724,6.92308e+06,121198
0.0255724,7.4359e+06,113193
0.0255724,7.94872e+06,104530
0.0255724,8.46154e+06,95258.8
0.0255724,8.97436e+06,85385.5
0.0255724,9.48718e+06,74945.4
0.0255724,1e+07,63913.1
0.0261931,-1e+07,63387.4
0.0261931,-9.48718e+06,74447.1
0.0261931,-8.97436e+06,84914.6
0.0261931,-8.46154e+06,94811.8
0.0261931,-7.94872e+06,104113
0.0261931,-7.4359e+06,112805
0.0261931,-6.92308e+06,120838
0.0261931,-6.41026e+06,128310
0.0261931,-5.89744e+06,135215
0.0261931,-5.38462e+06,141532
0.0261931,-4.87179e+06,147280
0.0261931,-4.35897e+06,152417
0.0261931,-3.84615e+06,157087
0.0261931,-3.33333e+06,161151
0.0261931,-2.82051e+06,164604
0.0261931,-2.30769e+06,167456
0.0261931,-1.79487e+06,169741
0.0261931,-1.28205e+06,171477
0.0261931,-769231,172622
0.0261931,-256410,173178
0.0261931,256410,173192
0.0261931,769231,172662
0.0261931,1.28205e+06,171545
0.0261931,1.79487e+06,169836
0.0261931,2.30769e+06,167576
0.0261931,2.82051e+06,164752
0.0261931,3.33333e+06,161326
0.0261931,3.84615e+06,157291
0.0261931,4.35897e+06,152648
0.0261931,4.87179e+06,147533
0.0261931,5.38462e+06,141811
0.0261931,5.89744e+06,135522
0.0261931,6.41026e+06,128646
0.0261931,6.92308e+06,121199
0.0261931,7.4359e+06,113194
0.0261931,7.94872e+06,104531
0.0261931,8.46154e+06,95259.7
0.0261931,8.97436e+06,85386.5
